symbol,cmp,volume,turnover,sma50,sma100,sma200,diff_from_200,car_signal
RELIANCE,1354.5,7105813,9624823708.5,1375.6060009765624,1411.1820031738282,1430.0835040283202,-5.28525109305949,AVOID_HOLD
TCS,2317.300048828125,2617262,6064981360.395996,2431.3799853515625,2707.6239965820314,2897.7284899902343,-20.030463280708037,AVOID_HOLD
