symbol,close,volume,turnover,rank
KEI,5260.5,410075,2167758000.0,132
TATACONSUM,1191.8,1808205,2162026000.0,133
HDFCLIFE,616.6,3481863,2151345000.0,134
KALYANKJIL,352.4,5989566,2125584000.0,135
SFL,638.5,3267309,2095654000.0,136
PRESTIGE,1388.5,1491323,2052943999.9999998,137
LTM,4007.8,499528,2025458000.0000002,138
SIEMENS,3811.7,534453,2023953000.0,139
GLAND,2334.0,864270,2017977000.0,140
CHOLAFIN,1539.8,1287931,1973059999.9999998,141
RVNL,271.1,7245031,1965779000.0,142
WABAG,1431.4,1345787,1955839000.0,143
GODREJCP,1027.5,1905091,1939759000.0,144
PIIND,2781.0,696886,1938305000.0,145
FEDERALBNK,287.2,6756952,1933487000.0,146
PARAS,812.0,2355817,1921125000.0,147
OFSS,9525.0,200614,1913250999.9999998,148
YESBANK,21.87,87040517,1892073000.0,149
INDIANB,825.95,2275195,1875604000.0,150
ELECON,533.25,3521385,1874839000.0,151
LTF,270.15,6958075,1866682000.0,152
DAMCAPITAL,160.88,11072571,1855439000.0,153
NESTLEIND,1423.1,1306017,1854032000.0,154
NATIONALUM,409.25,4550854,1853565000.0000002,155
MINDACORP,574.65,3251243,1851927000.0,156
MFSL,1680.0,1105535,1841696000.0,157
GRSE,2694.0,668064,1804072000.0,158
GANECOS,955.6,1727685,1800808000.0000002,159
TATAPOWER,408.9,4398760,1797668000.0,160
FSL,268.6,6791378,1788384000.0,161
IGL,155.51,11485498,1756511000.0,162
SBILIFE,1870.7,934443,1755989000.0,163
CGPOWER,865.7,2028217,1753959999.9999998,164
MANKIND,2479.4,680384,1696454000.0,165
INDUSTOWER,432.05,3905979,1688864000.0,166
IOC,139.47,12077225,1681643000.0,167
TATSILV,25.62,65328190,1681040000.0000002,168
ASTRAL,1541.7,1094826,1675312000.0,169
NAVINFLUOR,7125.0,233718,1656841999.9999998,170
POLYCAB,9263.5,177024,1640934999.9999998,171
3MINDIA,33315.0,49022,1635868000.0,172
MANAPPURAM,324.1,5037773,1631717000.0,173
BIOCON,430.25,3777650,1615294000.0,174
SWIGGY,249.95,6447196,1614891000.0,175
BPCL,295.6,5366953,1582940000.0,176
PFC,430.55,3609645,1556408000.0,177
RECLTD,336.95,4613260,1550466000.0,178
AUBANK,977.9,1557252,1521378000.0,179
EMIL,120.65,12170773,1501654000.0,180
ENRIN,3508.3,421025,1488326000.0,181
MAZDOCK,2469.1,603666,1487823000.0,182
SONACOMS,593.75,2484984,1480012000.0,183
HINDPETRO,389.65,3800324,1479831000.0,184
CAMS,757.2,1906544,1446157000.0,185
HDFCAMC,2738.7,525571,1441470000.0,186
AEROFLEX,403.05,3582977,1426389000.0,187
JAINREC,384.85,3739897,1418662000.0,188
HEROMOTOCO,4966.0,284550,1417539000.0,189
CDSL,1204.1,1176424,1416483000.0,190
PNB,102.66,13695251,1404974000.0,191
UPL,632.0,2217195,1397889000.0,192
SRF,2639.4,521212,1380819000.0,193
UNIONBANK,160.72,8563944,1375459000.0,194
NMDC,87.85,15440319,1355023000.0,195
CUPID,120.31,11158350,1351094000.0,196
ZYDUSLIFE,1038.95,1296117,1349166000.0,197
CIPLA,1399.2,917323,1284767000.0,198
RBLBANK,334.35,3833075,1276399000.0,199
TALBROAUTO,359.05,3541558,1261320000.0,200
EXCELSOFT,98.38,12846040,1246071000.0,201
ABCAPITAL,357.3,3506988,1239459000.0,202
CUMMINSIND,5353.0,230767,1237609000.0,203
GESHIP,1666.1,732563,1232235000.0,204
RAMCOSYS,469.9,2680663,1231954000.0,205
UNOMINDA,1089.3,1131416,1230716000.0,206
FORTIS,960.4,1268964,1217199000.0,207
BHARATFORG,1897.7,636410,1211828000.0,208
MANALIPETC,62.94,18815503,1210576000.0,209
MUTHOOTFIN,3296.7,367680,1208771000.0,210
PNBHOUSING,1059.6,1139365,1206981000.0,211
FCL,33.24,36506566,1191498000.0,212
AMBUJACEM,436.35,2717748,1189455000.0,213
TATAELXSI,4311.1,273949,1170983000.0,214
HBLENGINE,774.65,1481502,1160587000.0,215
ASHAPURMIN,675.35,1725007,1159009000.0,216
PGEL,467.0,2436494,1149959000.0,217
JPPOWER,18.76,61153759,1148560000.0,218
AGIIL,383.1,2967735,1137524000.0,219
TEJASNET,468.15,2407371,1130454000.0,220
CGCL,190.65,5891090,1122921000.0,221
DLF,586.7,1895533,1116632000.0,222
KPITTECH,751.05,1465191,1107294000.0,223
ICICIPRULI,520.05,2134922,1106142000.0,224
TECHNOE,1334.5,825282,1098989000.0,225
NEULANDLAB,16693.0,64311,1093018000.0,226
GODFRYPHLP,2315.3,470602,1090306000.0,227
NLCINDIA,344.65,3145770,1088788000.0,228
MANINDS,571.2,1901121,1087001000.0,229
CMPDI,234.17,4558608,1084007000.0,230
UNITDSPR,1282.1,842545,1077669000.0,231
AVANTEL,162.27,6422581,1068342000.0,232
SYRMA,1038.85,1027398,1066894000.0,233
INDUSINDBK,910.15,1165558,1060431000.0,234
NBCC,94.82,11193155,1060139000.0,235
SHYAMMETL,947.8,1120427,1057568000.0,236
VOLTAS,1268.1,832401,1056070999.9999999,237
MAHABANK,80.04,13186459,1051525000.0,238
DALBHARAT,1795.6,583886,1046267000.0,239
THERMAX,4454.6,232003,1044945000.0000001,240
SOLARWORLD,221.06,4642260,1036969000.0,241
COCHINSHIP,1532.1,672415,1033329000.0000001,242
ENDURANCE,2721.8,377211,1025023000.0,243
GPIL,291.4,3512829,1023081000.0,244
RPOWER,27.08,37751721,1021754000.0000001,245
COROMANDEL,1819.4,556925,1019223000.0,246
CESC,177.22,5770683,1017253000.0000001,247
JSWINFRA,274.6,3608661,994478000.0000001,248
JSWENERGY,551.25,1802387,991020000.0000001,249
ACUTAAS,2951.2,333925,988171999.9999999,250
